id;id_no;rev_bis;name_en;name_fr;short_description_en;short_description_fr;justification_en;justification_fr;date_inscribed;secondary_dates;danger;date_end;danger_list;longitude;latitude;area_hectares;C1;C2;C3;C4;C5;C6;N7;N8;N9;N10;criteria_txt;category;category_short;states_name_en;states_name_fr;continent_name_en;continent_name_fr;iso_code;udnp_code;transboundary;coordonnees;multiple;id_multiple;name_multiple
4;1;Bis;"Galápagos Islands";"Îles Galápagos";"<p>Situated in the Pacific Ocean some 1,000 km from the South American continent, these 19 islands and the surrounding marine reserve have been called a unique ‘living museum and showcase of evolution’. Located at the confluence of three ocean currents, the Galápagos are a ‘melting pot’ of marine species. Ongoing seismic and volcanic activity reflects the processes that formed the islands. These processes, together with the extreme isolation of the islands, led to the development of unusual animal life – such as the land iguana, the giant tortoise and the many types of finch – that inspired Charles Darwin’s theory of evolution by natural selection following his visit in 1835.</p>";"<p>Situées dans l’océan Pacifique, à environ 1000 km du continent sud-américain, ces dix-neuf îles et la réserve marine qui les entoure constituent un musée et un laboratoire vivants de l’évolution uniques au monde. Au confluent de trois courants océaniques, les Galápagos sont un creuset d’espèces marines. L’activité sismique et le volcanisme toujours en activité illustrent les processus qui ont formé ces îles. Ces processus, ainsi que l’isolement extrême de ces îles, ont entraîné le développement d’une faune originale - notamment l’iguane terrestre, la tortue géante et de nombreuses espèces de pinsons qui inspira à Charles Darwin sa théorie de l’évolution par la sélection naturelle à la suite de sa visite en 1835.</p>";;;1978;2001;0;2010;"P 2007-2010";-90.501319;-0.68986;14066514;0;0;0;0;0;0;1;1;1;1;(vii)(viii)(ix)(x);Natural;N;Ecuador;Équateur;"Latin America and the Caribbean";"Amérique latine et Caraïbes";ec;ecu;0;-0.68986,-90.501319;0;;
5;2;;"City of Quito";"Ville de Quito";"<p>Quito, the capital of Ecuador, was founded in the 16th century on the ruins of an Inca city and stands at an altitude of 2,850 m. Despite the 1917 earthquake, the city has the best-preserved, least altered historic centre in Latin America. The monasteries of San Francisco and Santo Domingo, and the Church and Jesuit College of La Compañía, with their rich interiors, are pure examples of the 'Baroque school of Quito', which is a fusion of Spanish, Italian, Moorish, Flemish and indigenous art.</p>";"<p>Fondée au XVIe siècle sur les ruines d'une cité inca à 2 850 m d'altitude, la capitale de l'Équateur possède toujours, malgré le tremblement de terre de 1917, le centre historique le mieux préservé et le moins modifié d'Amérique latine. Les monastères San Francisco et Santo Domingo, l'église et le collège jésuite de La Compañía, avec leurs riches décorations intérieures, sont des exemples parfaits de l'« école baroque de Quito », mélange d'art espagnol, italien, mauresque, flamand et indien.</p>";;;1978;;0;;;-78.51208333;-0.22;70.43;0;1;0;1;0;0;0;0;0;0;(ii)(iv);Cultural;C;Ecuador;Équateur;"Latin America and the Caribbean";"Amérique latine et Caraïbes";ec;ecu;0;-0.22,-78.51208333;0;;
11;8;;"Ichkeul National Park";"Parc national de l'Ichkeul";"<p>The Ichkeul lake and wetland are a major stopover point for hundreds of thousands of migrating birds, such as ducks, geese, storks and pink flamingoes, who come to feed and nest there. Ichkeul is the last remaining lake in a chain that once extended across North Africa.</p>";"<p>Le lac et les zones humides de l'Ichkeul constituent un relais indispensable pour des centaines de milliers d'oiseaux migrateurs &ndash; canards, oies, cigognes, flamants roses, etc. &ndash; qui viennent s'y nourrir et y nicher. Le lac est l'ultime vestige d'une cha&icirc;ne de lacs qui s'&eacute;tendait jadis &agrave; travers l'Afrique du Nord.</p>";;;1980;;0;2006;"P 1996-2006";9.67472;37.16361;12600;0;0;0;0;0;0;0;0;0;1;(x);Natural;N;Tunisia;Tunisie;"Arab States";"États arabes";tn;tun;0;37.16361,9.67472;0;;
12;9;;"Simien National Park";"Parc national du Simien";"<p>Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world.</p>";"<p>Une érosion massive au cours des ans a formé sur le plateau éthiopien un des paysages les plus spectaculaires du monde, avec des pics, des vallées, et des précipices atteignant jusqu'à 1 500 m de profondeur. Le parc est le refuge d'animaux extrêmement rares, comme le babouin <em>gelada</em>, le renard du Simien ou <em>Walia ibex</em>, sorte de chèvre qu'on ne trouve nulle part ailleurs.</p>";;;1978;;0;2017;"P 1996-2017";38.06666667;13.18333333;13600;0;0;0;0;0;0;1;0;0;1;(vii)(x);Natural;N;Ethiopia;Éthiopie;Africa;Afrique;et;eth;0;13.18333333,38.06666667;0;;
13;10;;"Lower Valley of the Awash";"Basse vallée de l'Aouache";"<p>The Awash valley contains one of the most important groupings of palaeontological sites on the African continent. The remains found at the site, the oldest of which date back at least 4 million years, provide evidence of human evolution which has modified our conception of the history of humankind. The most spectacular discovery came in 1974, when 52 fragments of a skeleton enabled the famous Lucy to be reconstructed.</p>";"<p>La vall&eacute;e de l'Aouache contient un des plus importants ensembles de gisements pal&eacute;ontologiques du continent africain. Les vestiges d&eacute;couverts sur le site, dont les plus anciens ont au moins 4 millions d'ann&eacute;es, fournissent une preuve de l'&eacute;volution humaine qui a modifi&eacute; notre perception de l'histoire de l'humanit&eacute;. La d&eacute;couverte la plus spectaculaire a &eacute;t&eacute; faite en 1974, lorsque cinquante-deux fragments de squelette ont permis de reconstituer la c&eacute;l&egrave;bre Lucy.</p>";;;1980;;0;;;40.57939;11.10006;0;0;1;1;1;0;0;0;0;0;0;(ii)(iii)(iv);Cultural;C;Ethiopia;Éthiopie;Africa;Afrique;et;eth;0;11.10006,40.57939;0;;
15;12;;Tiya;Tiya;"<p>Tiya is among the most important of the roughly 160 archaeological sites discovered so far in the Soddo region, south of Addis Ababa. The site contains 36 monuments, including 32 carved stelae covered with symbols, most of which are difficult to decipher. They are the remains of an ancient Ethiopian culture whose age has not yet been precisely determined.</p>";"<p>Sur quelque 160 sites arch&eacute;ologiques d&eacute;couverts jusqu'&agrave; pr&eacute;sent dans la r&eacute;gion du Soddo, au sud d'Addis-Abeba, celui de Tiya est l'un des plus importants. Il comprend 36 monuments, dont 32 st&egrave;les pr&eacute;sentant une figuration sculpt&eacute;e faite d'&eacute;p&eacute;es et de symboles demeur&eacute;s &eacute;nigmatiques. Ces st&egrave;les t&eacute;moignent d'une culture proto-historique d'&Eacute;thiopie que l'on n'a pas encore pu dater avec pr&eacute;cision.</p>";;;1980;;0;;;38.6121;8.43491;0;1;0;0;1;0;0;0;0;0;0;(i)(iv);Cultural;C;Ethiopia;Éthiopie;Africa;Afrique;et;eth;0;8.43491,38.6121;0;;
18;15;;Aksum;Axoum;"<p>The ruins of the ancient city of Aksum are found close to Ethiopia's northern border. They mark the location of the heart of ancient Ethiopia, when the Kingdom of Aksum was the most powerful state between the Eastern Roman Empire and Persia. The massive ruins, dating from between the 1st and the 13th century A.D., include monolithic obelisks, giant stelae, royal tombs and the ruins of ancient castles. Long after its political decline in the 10th century, Ethiopian emperors continued to be crowned in Aksum.</p>";"<p>Près de la frontière nord de l'Éthiopie, les ruines de la ville ancienne d'Axoum marquent l'emplacement du cœur de l'Éthiopie antique, lorsque le royaume d'Axoum était l'État le plus puissant entre l'Empire romain d'Orient et la Perse. Les ruines massives, qui datent du I<sup><sup>e</sup>r</sup> au XIII<sup>e</sup> siècle, comprennent des obélisques monolithiques, des stèles géantes, des tombes royales et les ruines de châteaux anciens. Longtemps après son déclin politique vers le X<sup>e</sup> siècle, les empereurs d'Éthiopie vinrent se faire couronner dans cette ville.</p>";;;1980;;0;;;38.71861;14.13019;0;1;0;0;1;0;0;0;0;0;0;(i)(iv);Cultural;C;Ethiopia;Éthiopie;Africa;Afrique;et;eth;0;14.13019,38.71861;0;;
20;17;;"Lower Valley of the Omo";"Basse vallée de l'Omo";"<p>A prehistoric site near Lake Turkana, the lower valley of the Omo is renowned the world over. The discovery of many fossils there, especially <em>Homo gracilis</em>, has been of fundamental importance in the study of human evolution.</p>";"<p>Près du lac Turkana, la basse vallée de l'Omo est un site préhistorique de renommée mondiale, où ont été découverts de nombreux fossiles, notamment l'<em>Homo gracilis</em>, d'une importance essentielle pour l'étude de l'évolution humaine.</p>";;;1980;;0;;;35.96666667;4.8;0;0;0;1;1;0;0;0;0;0;0;(iii)(iv);Cultural;C;Ethiopia;Éthiopie;Africa;Afrique;et;eth;0;4.8,35.96666667;0;;
21;18;;"Rock-Hewn Churches, Lalibela";"Églises creusées dans le roc de Lalibela";"<p>The 11 medieval monolithic cave churches of this 13th-century 'New Jerusalem' are situated in a mountainous region in the heart of Ethiopia near a traditional village with circular-shaped dwellings. Lalibela is a high place of Ethiopian Christianity, still today a place of pilmigrage and devotion.</p>";"<p>Au c&oelig;ur de l'&Eacute;thiopie, dans une r&eacute;gion montagneuse, les onze &eacute;glises monolithes m&eacute;di&eacute;vales de cette &laquo; nouvelle J&eacute;rusalem &raquo; du XIII<sup>e</sup> si&egrave;cle ont &eacute;t&eacute; creus&eacute;es et taill&eacute;es &agrave; m&ecirc;me le roc pr&egrave;s d'un village traditionnel aux maisons rondes. Lalibela est un haut lieu du christianisme &eacute;thiopien, lieu de p&egrave;lerinage&nbsp;et de d&eacute;votions.</p>";;;1978;;0;;;39.04042;12.02935;0;1;1;1;0;0;0;0;0;0;0;(i)(ii)(iii);Cultural;C;Ethiopia;Éthiopie;Africa;Afrique;et;eth;0;12.02935,39.04042;0;;
22;19;;"Fasil Ghebbi, Gondar Region";"Fasil Ghebi";"<p>In the 16th and 17th centuries, the fortress-city of Fasil Ghebbi was the residence of the Ethiopian emperor Fasilides and his successors. Surrounded by a 900-m-long wall, the city contains palaces, churches, monasteries and unique public and private buildings marked by Hindu and Arab influences, subsequently transformed by the Baroque style brought to Gondar by the Jesuit missionaries.</p>";"<p>Résidence de l'empereur éthiopien Fasilidès et de ses successeurs aux XVI<sup>e</sup> et XVII<sup>e</sup> siècles, la ville fortifiée de Fasil Ghebbi regroupe à l'intérieur d'une enceinte de 900 m palais, églises, monastères, bâtiments publics et privés d'un style très particulier, marqué d'influences indiennes et arabes, et métamorphosé par l'esthétique baroque transmise au Gondar par les missionnaires jésuites.</p>";;;1979;;0;;;37.4697;12.607909;0;0;1;1;0;0;0;0;0;0;0;(ii)(iii);Cultural;C;Ethiopia;Éthiopie;Africa;Afrique;et;eth;0;12.607909,37.4697;0;;
